Trial_ID,mAP,Min_Scale,Beta,LR_Adap,Fid_Thr,Alpha,Ortho,Aux
0,85.0016,0.0800,4.00,0.004123,0.80,3.00,0.10,0.20
1,90.6181,0.1000,2.50,0.001548,0.83,4.50,0.20,0.90
2,80.7296,0.1500,1.00,0.002080,0.86,2.50,0.10,1.00
3,91.0625,0.0100,4.00,0.002183,0.87,5.00,1.00,0.90
5,90.5451,0.1800,3.50,0.001050,0.82,0.50,1.00,0.90
8,90.7278,0.0400,3.00,0.000586,0.90,3.00,0.90,0.70
10,90.9862,0.1900,3.00,0.000902,0.90,1.50,0.40,0.70
11,90.5528,0.0400,4.50,0.001762,0.89,3.50,0.20,0.50
14,90.8042,0.0100,5.00,0.000637,0.88,5.00,0.70,0.60
15,91.1723,0.0100,5.00,0.000515,0.88,5.00,0.80,0.70
16,91.0961,0.0100,5.00,0.000560,0.88,1.50,0.70,0.60
17,91.9542,0.1300,5.00,0.000582,0.88,1.50,0.60,0.70
18,91.8496,0.1400,4.00,0.000932,0.88,1.50,0.60,0.70
19,91.2112,0.0700,5.00,0.000383,0.87,5.00,0.70,0.80
20,90.7851,0.0700,5.00,0.000357,0.88,1.50,0.60,0.50
21,91.2139,0.1400,4.50,0.000347,0.84,2.00,0.60,0.50
22,90.9345,0.1400,4.00,0.000345,0.84,2.00,0.60,0.50
23,91.2326,0.1400,4.00,0.001070,0.84,2.00,0.50,0.50
29,91.0715,0.1600,4.50,0.000795,0.86,1.00,0.60,0.80
31,91.4269,0.1000,3.50,0.000436,0.87,1.00,0.80,0.60
33,91.3443,0.0900,4.50,0.001340,0.82,1.50,0.70,0.40
35,90.9731,0.1700,4.50,0.000825,0.83,2.50,0.70,0.60
36,91.0326,0.1200,4.50,0.000475,0.82,2.50,0.70,0.60
44,91.2500,0.0700,4.00,0.001789,0.87,1.50,1.00,0.40
48,91.7709,0.1300,3.50,0.000666,0.89,2.00,0.40,0.30
54,91.1527,0.1400,4.50,0.000309,0.85,2.00,0.60,0.50
59,91.1947,0.1000,3.00,0.000583,0.90,1.50,0.10,0.20
58,91.9542,0.0700,5.00,0.001160,0.88,2.00,0.70,0.50
60,91.2819,0.0500,2.00,0.000629,0.90,1.50,0.10,0.20
62,91.1994,0.0300,2.00,0.001118,0.88,3.00,0.70,0.30
65,91.3683,0.0300,5.00,0.000762,0.88,1.50,0.80,0.40
68,91.4820,0.0900,5.00,0.000634,0.90,1.00,0.80,0.30
69,91.5231,0.0900,5.00,0.000647,0.90,1.00,0.20,0.70
71,91.8703,0.0200,4.50,0.000998,0.89,1.00,0.80,0.70
72,92.0284,0.0200,5.00,0.000722,0.89,0.50,0.90,0.70
73,91.2398,0.1200,5.00,0.000442,0.89,0.50,0.20,0.70
80,92.0729,0.1200,4.50,0.000854,0.90,0.50,0.40,0.80
78,91.5044,0.0900,4.50,0.001009,0.89,1.00,0.20,0.70
82,91.3488,0.1700,5.00,0.001038,0.90,0.50,0.60,0.70
84,91.5389,0.1300,5.00,0.000994,0.89,0.50,0.60,0.70
85,91.2328,0.1300,5.00,0.001036,0.90,0.50,0.40,0.90
89,91.7987,0.1400,4.50,0.001037,0.88,0.50,0.50,0.80
91,91.2970,0.0400,4.00,0.000855,0.88,0.50,0.30,0.70
93,91.4250,0.0400,4.00,0.000528,0.88,0.50,0.60,0.80
97,91.5300,0.1100,4.50,0.000514,0.89,0.50,0.00,0.60
98,91.4113,0.1500,4.00,0.000516,0.88,0.50,0.50,0.80
101,91.8951,0.1600,4.50,0.001271,0.89,2.00,0.40,0.60
104,91.2691,0.1400,4.50,0.000747,0.88,1.00,0.50,0.60
105,91.5697,0.1100,4.50,0.000788,0.89,0.50,0.00,0.60
106,91.4681,0.1200,4.50,0.000730,0.89,0.50,0.40,0.60
113,91.7600,0.1800,3.50,0.001079,0.89,0.50,0.60,0.70
114,91.6405,0.1100,3.50,0.001082,0.89,0.50,0.90,0.70
121,91.2764,0.1000,4.00,0.000840,0.89,1.50,0.90,0.50
122,91.6738,0.1600,4.00,0.000841,0.89,2.00,0.90,0.80
123,91.9403,0.1600,3.50,0.000983,0.90,0.50,0.90,0.70
128,91.2961,0.1600,3.50,0.000858,0.90,1.00,0.90,0.80
